epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.97458,3.74706,8.02764,1.77317,0,0,0,0,2.95218,5.50853,1.22998,0.00032381,0.00032381,0.00032381
2,9.40337,2.98674,5.15768,1.23238,0.00377,0.22418,0.02911,0.01264,2.663,3.84518,1.15909,0.000644131,0.000644131,0.000644131
3,12.7541,2.64228,4.04449,1.13602,0.55292,0.09997,0.18559,0.07086,2.52682,3.18034,1.12147,0.000951253,0.000951253,0.000951253
4,15.3724,2.55408,3.59024,1.08563,0.4124,0.3459,0.31449,0.11909,2.40202,2.36363,1.06352,0.0009406,0.0009406,0.0009406
5,17.2385,2.41462,3.08606,1.04812,0.52576,0.40662,0.43538,0.18296,2.2416,2.16101,1.03663,0.0009208,0.0009208,0.0009208
6,19.1025,2.35536,2.87367,1.03619,0.56247,0.43243,0.46136,0.19792,2.22269,2.12921,1.03367,0.000901,0.000901,0.000901
7,21.5995,2.20047,2.49714,1.02511,0.67329,0.50233,0.53286,0.23021,2.13467,1.79384,1.0241,0.0008812,0.0008812,0.0008812
8,24.0253,2.19677,2.3694,1.0022,0.65498,0.51731,0.56307,0.24185,2.14164,1.77895,1.00337,0.0008614,0.0008614,0.0008614
9,26.2315,2.16009,2.2324,0.99512,0.7022,0.53549,0.60986,0.27824,2.03786,1.70153,0.99436,0.0008416,0.0008416,0.0008416
10,29.3226,2.05655,2.04903,0.98552,0.70395,0.56151,0.5999,0.24248,2.18456,1.68722,1.00595,0.0008218,0.0008218,0.0008218
11,31.8364,2.0614,1.95607,0.97979,0.7591,0.59777,0.67208,0.29836,2.05573,1.51622,0.99298,0.000802,0.000802,0.000802
12,34.2791,2.05009,1.85407,0.98247,0.7262,0.6143,0.68351,0.31033,1.96226,1.49604,0.9726,0.0007822,0.0007822,0.0007822
13,36.4235,2.01902,1.75827,0.96954,0.74478,0.65916,0.71528,0.32927,1.97693,1.38291,0.98237,0.0007624,0.0007624,0.0007624
14,38.704,1.939,1.68244,0.95574,0.85691,0.65141,0.73026,0.33285,1.9995,1.40113,0.97781,0.0007426,0.0007426,0.0007426
15,41.1554,1.96739,1.61884,0.96483,0.75033,0.60832,0.66798,0.2478,2.22043,1.47124,1.00551,0.0007228,0.0007228,0.0007228
